130, 60, 31.81942673028486, 544, 1156, 19, 1983, 0, 1670148515402, 1670148519445, [120, 11, 26], [1, 1], 44.69089274183858
120, 50, 45.19169636679372, 442, 838, 13, 1486, 0, 1670148570816, 1670148572971, [130, 10, 26], [-1, -1], 40.14343825553573
120, 50, 21.55674753362618, 841, 1538, 23, 3148, 0, 1670148622893, 1670148627531, [120, 11, 26], [0, 0], 26.962114202880855
120, 60, 37.13919328550348, 518, 1014, 32, 1655, 0, 1670148666265, 1670148668496, [120, 12, 26], [0, 1], 45.00741903587006
110, 50, 27.064791193768777, 727, 1313, 41, 2356, 0, 1670148730018, 1670148733605, [120, 14, 26], [-1, -1], 29.930829919995176
100, 40, 31.563379641198416, 654, 1133, 51, 2043, 0, 1670148792871, 1670148795937, [110, 13, 25], [-1, -1], 25.63269440525972
90, 30, 39.973764353367756, 510, 964, 20, 1705, 0, 1670148847591, 1670148851059, [100, 11, 26], [-1, -1], 22.391566908877394
80, 30, 34.74895137731857, 530, 1013, 36, 1830, 0, 1670148903945, 1670148925982, [90, 13, 26], [-1, 0], 22.4216652428504
80, 40, 31.937060907059916, 468, 930, 23, 1936, 0, 1670148982165, 1670148986243, [80, 13, 26], [0, 1], 33.571227802864406
70, 40, 25.374089805275958, 635, 1244, 52, 2617, 0, 1670149067771, 1670149071943, [80, 13, 26], [-1, 0], 27.15559927703023
80, 30, 33.15164651326828, 622, 1277, 39, 1910, 0, 1670149131193, 1670149133693, [70, 13, 26], [1, -1], 19.87790761071494
80, 20, 49.4572885064248, 414, 804, 16, 1184, 0, 1670149167784, 1670149171675, [80, 13, 26], [0, -1], 16.34443199413142
90, 20, 24.932925052631862, 719, 1527, 25, 2564, 0, 1670149231454, 1670149235222, [80, 14, 25], [1, -1], 12.21401345206081
80, 30, 29.02984388383684, 577, 1204, 25, 2179, 0, 1670149290785, 1670149295787, [90, 15, 25], [-1, 1], 21.64129373589418
80, 30, 26.352198538407514, 630, 1193, 28, 2370, 0, 1670149336395, 1670149341279, [80, 14, 25], [0, 0], 20.396818911124466
80, 20, 31.860530911561554, 733, 1328, 29, 1977, 0, 1670149397932, 1670149401497, [80, 13, 25], [0, -1], 11.621932173222266
80, 30, 36.598978872745725, 487, 1039, 15, 1811, 0, 1670149444931, 1670149447856, [80, 11, 25], [0, 1], 23.681870427554944
90, 20, 27.02660746816767, 703, 1229, 34, 2875, 0, 1670149531684, 1670149533887, [80, 14, 26], [1, -1], 12.32883827781987
100, 30, 32.77743565454144, 617, 1146, 22, 1977, 3, 1670149590909, 1670149593584, [90, 14, 28], [1, 1], 20.050534227110017
100, 20, 20.315887776251724, 760, 1416, 32, 5684, 0, 1670149651550, 1670149676355, [100, 12, 28], [0, -1], 11.886881330903869
100, 20, 37.184263723991116, 441, 861, 33, 1803, 0, 1670149717664, 1670149722090, [100, 12, 28], [0, -1], 16.956709633523197
90, 20, 45.59139020572415, 379, 802, 26, 1388, 0, 1670149774258, 1670149776472, [100, 11, 26], [-1, -1], 17.813704113485628
100, 20, 32.45472087213865, 687, 1264, 39, 1985, 0, 1670149832392, 1670149836505, [90, 13, 25], [1, -1], 12.242616083128446
90, 20, 30.57294423286656, 506, 1058, 33, 2012, 0, 1670149903217, 1670149906442, [100, 15, 25], [-1, -1], 15.916172019374997
100, 20, 23.56454679279659, 517, 1153, 13, 2834, 0, 1670149966108, 1670149970759, [90, 15, 25], [1, 0], 16.35969907622594
110, 20, 22.657402971025096, 762, 1443, 31, 2863, 0, 1670150028139, 1670150049961, [100, 13, 25], [1, -1], 11.728422119778921
100, 30, 27.274223631034204, 581, 1261, 29, 2230, 0, 1670150105972, 1670150110609, [110, 12, 25], [-1, 1], 21.73607810587729
90, 30, 35.77509017097964, 688, 1248, 15, 1939, 0, 1670150173879, 1670150176090, [100, 13, 26], [-1, 0], 18.04836179791378
100, 20, 38.35267352251229, 464, 741, 67, 2092, 0, 1670150255754, 1670150257860, [90, 12, 27], [1, -1], 16.19667442712209
100, 20, 30.18916531691842, 655, 1180, 25, 2067, 8, 1670150315527, 1670150318192, [100, 12, 27], [0, 0], 12.890640195933187
110, 20, 31.432336218044405, 639, 1274, 28, 2084, 0, 1670150375843, 1670150378000, [100, 11, 27], [1, -1], 13.076521866270832
100, 30, 42.235359803474864, 363, 805, 15, 1386, 0, 1670150435143, 1670150437842, [110, 13, 27], [-1, 1], 28.198592728866785
110, 30, 32.78547817156246, 612, 1209, 15, 1859, 0, 1670150491727, 1670150496298, [100, 14, 28], [1, 0], 20.184570058468644
110, 40, 34.48350999561286, 435, 944, 25, 2149, 0, 1670150555512, 1670150557640, [110, 12, 27], [0, 1], 34.90803234629345
120, 50, 14.578268540554348, 971, 1935, 41, 4354, 0, 1670150632493, 1670150639827, [110, 12, 27], [1, 1], 24.28804280014426
130, 50, 40.124961889709255, 532, 1016, 47, 1610, 0, 1670150691419, 1670150698745, [120, 13, 25], [1, 0], 36.10109097948346
130, 50, 37.03859961260848, 805, 1572, 28, 2071, 0, 1670150738362, 1670150745053, [130, 10, 25], [0, 0], 26.22869919148787
130, 60, 34.546256726305955, 492, 924, 34, 1765, 0, 1670150783621, 1670150786609, [130, 12, 25], [0, 1], 47.605066320485314
140, 50, 25.601622829811305, 886, 1550, 62, 2649, 0, 1670150843683, 1670150856417, [130, 14, 25], [1, -1], 25.293237366978456
140, 40, 45.514508635778746, 485, 938, 24, 1296, 0, 1670150892268, 1670150895001, [140, 12, 25], [0, -1], 29.98239877838891
150, 30, 30.908078141382973, 617, 1204, 30, 2077, 0, 1670150948985, 1670150953246, [140, 13, 25], [1, -1], 20.252964589190515
150, 20, 22.980622425085226, 856, 1635, 35, 3191, 0, 1670151004554, 1670151008591, [150, 11, 25], [0, -1], 10.549385744778794
160, 30, 42.57989542305354, 557, 1041, 43, 1508, 0, 1670151064535, 1670151066901, [150, 11, 25], [1, 1], 20.62367132354711
160, 30, 19.19297985086048, 655, 1317, 15, 3688, 0, 1670151140394, 1670151143735, [160, 11, 25], [0, 0], 20.498190217832303
