70, 60, 19.244381645889455, 692, 1147, 35, 5778, 0, 1670159539570, 1670159561587, [70, 11, 25], [0, -1], 39.01284363053511
80, 60, 31.404886481657883, 663, 1264, 36, 2048, 0, 1670159616486, 1670159620010, [70, 10, 25], [1, 0], 38.04115705089438
70, 70, 35.81899543446597, 580, 1156, 56, 1993, 0, 1670159672978, 1670159694989, [80, 10, 25], [-1, 1], 48.390933590665
80, 80, 40.809596344429515, 480, 945, 28, 1576, 0, 1670159747908, 1670159750627, [70, 10, 25], [1, 1], 62.18534358224203
70, 70, 33.15814926411964, 504, 883, 41, 2011, 0, 1670159806707, 1670159811461, [80, 10, 25], [-1, -1], 54.976763932329696
70, 60, 32.39728219437773, 688, 1224, 36, 1895, 0, 1670159852173, 1670159854951, [70, 11, 26], [0, -1], 36.69324718744377
80, 70, 20.886776148660367, 887, 1410, 53, 3537, 0, 1670159917131, 1670159924724, [70, 12, 26], [1, 1], 36.062134268710324
70, 60, 22.091464718538187, 656, 1229, 23, 3250, 2, 1670160004260, 1670160008423, [80, 10, 25], [-1, -1], 40.3027619313099
60, 70, 36.917595693547824, 612, 1155, 41, 1820, 0, 1670160062782, 1670160065425, [70, 11, 25], [-1, 1], 46.07261358825884
50, 70, 38.78784442441558, 450, 825, 18, 1631, 0, 1670160117938, 1670160120367, [60, 12, 25], [-1, 0], 57.83676826971752
40, 80, 37.63389541460499, 568, 905, 34, 1704, 0, 1670160184863, 1670160187454, [50, 12, 26], [-1, 1], 55.668781089000184
30, 80, 40.95568366441622, 485, 957, 39, 1541, 0, 1670160239939, 1670160242354, [40, 12, 26], [-1, 0], 61.65012084711397
40, 90, 40.221370162015084, 509, 1019, 24, 1672, 0, 1670160293487, 1670160298071, [30, 13, 27], [1, 1], 67.17566106443465
30, 80, 45.63402081745213, 404, 758, 25, 1287, 0, 1670160357195, 1670160360074, [40, 12, 27], [-1, -1], 68.19699783346469
20, 90, 31.744076254844728, 542, 907, 37, 1907, 0, 1670160413729, 1670160417698, [30, 14, 27], [-1, 1], 67.26695648614405
30, 100, 29.256576897162965, 773, 1358, 48, 2186, 0, 1670160483241, 1670160487894, [20, 14, 28], [1, 1], 56.17811470704163
30, 100, 45.11932187995113, 478, 869, 22, 1466, 0, 1670160525015, 1670160527011, [30, 11, 26], [0, 1], 75.9327632822813
20, 100, 44.92309143786238, 430, 751, 36, 1294, 0, 1670160584306, 1670160586573, [30, 13, 26], [-1, 0], 82.00857154964487
10, 100, 50.310499346859956, 398, 619, 17, 1089, 0, 1670160637400, 1670160639530, [20, 13, 26], [-1, 1], 83.43874464404821
10, 100, 37.20635059991899, 622, 807, 28, 1906, 6, 1670160712382, 1670160713993, [10, 14, 26], [-1, 1], 64.86553225197787
10, 100, 54.68673054443824, 277, 419, 19, 1003, 0, 1670160762370, 1670160764834, [10, 13, 27], [-1, 0], 100.85791310686585
10, 100, 46.3160746743798, 372, 652, 30, 1287, 0, 1670160819238, 1670160821592, [10, 14, 28], [-1, 1], 89.72403241489509
20, 100, 37.01603908474918, 434, 827, 27, 1805, 0, 1670160877791, 1670160880179, [10, 15, 28], [1, 1], 85.90118366759518
10, 90, 47.721190560428695, 471, 689, 50, 1183, 0, 1670160933448, 1670160936010, [20, 15, 29], [-1, -1], 67.98766577975151
20, 80, 36.669285048874805, 447, 832, 33, 1812, 0, 1670160992142, 1670160994478, [10, 17, 29], [1, -1], 67.37668893032989
10, 70, 35.12993412153745, 582, 807, 44, 2286, 0, 1670161063065, 1670161065292, [20, 15, 30], [-1, -1], 48.44158329877114
10, 80, 60.30591046094619, 268, 535, 19, 738, 0, 1670161097907, 1670161100507, [10, 20, 30], [0, 1], 78.55094837146397
10, 70, 50.689283080111885, 313, 482, 15, 1322, 0, 1670161151714, 1670161153853, [10, 17, 30], [-1, -1], 67.86139794622169
