40, 38.89968386014367, 491, 832, 46, 1615, 0, 1670060718227, 1670060720434, [50, 17, 27], [-1, -1], 6.956309703173044
50, 34.64331298577277, 472, 959, 62, 1862, 0, 1670060776501, 1670060778740, [40, 20, 30], [1, 0], 6.084178606563535
50, 49.27146997963596, 282, 491, 23, 1037, 0, 1670060814836, 1670060816973, [50, 16, 30], [0, 0], 15.216636806558355
40, 40.024743044642925, 407, 757, 34, 1630, 0, 1670060870394, 1670060873272, [50, 15, 30], [-1, 0], 8.390931455899985
40, 41.610210886997535, 439, 865, 34, 1288, 0, 1670060909564, 1670060912558, [40, 14, 30], [0, 1], 7.937850226439819
50, 44.22015444363717, 549, 1001, 40, 1514, 0, 1670060966627, 1670060968763, [40, 16, 30], [1, 1], 6.915882771916978
60, 38.494635670568606, 505, 1011, 16, 1630, 0, 1670061020031, 1670061024702, [50, 14, 30], [1, 0], 6.350154350143286
70, 35.35953190783711, 608, 1146, 29, 1790, 0, 1670061081442, 1670061084527, [60, 15, 29], [1, 0], 4.941242580748618
60, 26.983440109665963, 675, 1272, 31, 2147, 0, 1670061139448, 1670061143729, [70, 13, 29], [-1, 1], 3.396706962445363
50, 30.850532267331474, 598, 1096, 30, 2114, 0, 1670061197472, 1670061201177, [60, 14, 28], [-1, 0], 4.422381345661048
40, 22.910767258822002, 514, 927, 26, 5476, 0, 1670061292308, 1670061295981, [50, 13, 26], [-1, 0], 3.840222470469662
50, 33.16253340960461, 652, 1173, 59, 1871, 0, 1670061349632, 1670061353732, [40, 10, 26], [1, 0], 4.385418329754643
50, 36.748862811105845, 475, 909, 33, 1651, 2, 1670061409224, 1670061412704, [50, 15, 26], [0, -1], 6.541271415291179
50, 30.26892962082701, 576, 1149, 17, 2184, 0, 1670061454511, 1670061457613, [50, 11, 26], [0, -1], 4.382990098584854
50, 32.50165845422656, 569, 1141, 16, 1900, 0, 1670061515026, 1670061518409, [50, 11, 26], [0, 1], 4.755876273664992
40, 28.78385576603622, 671, 1158, 26, 2125, 0, 1670061577006, 1670061579187, [50, 12, 26], [-1, 0], 3.745946872206691
50, 42.30824323454725, 395, 744, 34, 1470, 7, 1670061649520, 1670061652102, [40, 16, 26], [1, 1], 9.102461969566964
50, 26.91923711939977, 656, 1115, 44, 2638, 3, 1670061713427, 1670061716001, [50, 15, 26], [0, -1], 3.5997910028616973
50, 26.123446997715472, 659, 1245, 30, 2230, 0, 1670061757594, 1670061762658, [50, 13, 26], [0, 0], 3.3655561707956028
50, 34.30251560029724, 507, 987, 32, 1874, 0, 1670061800878, 1670061804363, [50, 13, 26], [0, -1], 5.688642719783954
50, 41.86148994676702, 446, 840, 37, 1709, 0, 1670061840057, 1670061858287, [50, 13, 25], [0, -1], 7.97665585875896
40, 1.430002508194311, 1654, 4080, 52, 20883, 5, 1670062047514, 1670062050911, [50, 12, 26], [-1, -1], 0.06684753684528381
50, 48.21495223848933, 342, 627, 25, 1053, 0, 1670062113555, 1670062115858, [40, 10, 26], [1, 0], 12.083947929445948
40, 34.96272675095992, 490, 895, 44, 1788, 0, 1670062170042, 1670062173005, [50, 16, 26], [-1, -1], 6.123069483530634
30, 34.158042558680776, 558, 1012, 42, 1943, 0, 1670062236264, 1670062238265, [40, 15, 27], [-1, 0], 5.264803107071636
20, 26.488941622947607, 865, 1480, 39, 2331, 0, 1670062298778, 1670062301434, [30, 19, 29], [-1, -1], 2.6810669658853854
30, 13.745838768234938, 1577, 2838, 236, 7936, 0, 1670062389783, 1670062429912, [20, 20, 31], [1, 0], 0.7514672407738321
40, 48.29155682367368, 392, 817, 47, 1539, 0, 1670062492410, 1670062493984, [30, 23, 33], [1, 0], 10.124016105591966
30, 40.21722158232775, 468, 943, 28, 1469, 0, 1670062548137, 1670062550643, [40, 20, 33], [-1, 0], 7.143378611425888
40, 31.943478037370184, 809, 1335, 42, 1893, 0, 1670062614073, 1670062616559, [30, 18, 32], [1, 1], 3.4941454864767207
30, 58.229266702581995, 320, 685, 19, 1031, 0, 1670062666789, 1670062669185, [40, 16, 33], [-1, -1], 14.816607303455978
20, 19.223267644648377, 1116, 2140, 35, 3465, 0, 1670062738463, 1670062740612, [30, 19, 33], [-1, 0], 1.4554260784864004
20, 34.838142583901906, 817, 1226, 70, 1801, 0, 1670062782241, 1670062786357, [20, 27, 32], [0, 1], 3.8760728286495216
30, 52.48458072774226, 272, 392, 37, 1854, 0, 1670062840475, 1670062848431, [20, 24, 33], [1, 1], 17.731277272885897
40, 22.587634687817946, 1352, 2562, 61, 4463, 0, 1670062917076, 1670062933966, [30, 29, 33], [1, 1], 1.417041072008654
30, 73.82725169530643, 1645, 6054, 10, 7210, 6, 1670063124229, 1670063125294, [40, 28, 31], [-1, -1], 2.921768707270319
40, 81.25475911846478, 724, 784, 626, 903, 200, 1670063258147, 1670063259208, [30, 19, 34], [1, 1], 11.040048793269671
40, 37.63955040392791, 6974, 20238, 631, 25521, 200, 1670063513710, 1670063687750, [40, 12, 33], [0, 0], 0.39098714426318104
