30, 50, 191.75473044028212, 15, 25, 8, 39, 0, 1675811271136, 1675811272178, [30, 4, 5], [0, -1], 1127.9690025898947
30, 50, 190.4789547966229, 22, 44, 9, 73, 0, 1675811310618, 1675811311676, [30, 4, 5], [0, -1], 721.5111924114503
40, 50, 190.85081585081588, 76, 135, 9, 799, 0, 1675811350576, 1675811351616, [30, 4, 5], [1, -1], 217.36994971619117
30, 50, 157.53628617811205, 90, 157, 10, 506, 0, 1675811391193, 1675811392271, [40, 4, 5], [-1, 0], 152.35617618772926
20, 50, 191.38826084846352, 28, 53, 8, 159, 0, 1675811430707, 1675811431754, [30, 5, 5], [-1, 0], 579.9644268135257
30, 50, 188.6995662580253, 16, 27, 8, 51, 0, 1675811470373, 1675811471419, [20, 4, 5], [1, -1], 1036.8108036155236
30, 50, 189.1348088531187, 17, 30, 8, 51, 0, 1675811494823, 1675811495868, [30, 4, 5], [0, 0], 964.9735145567281
20, 50, 189.31656094326775, 37, 62, 9, 186, 0, 1675811534440, 1675811535488, [30, 4, 5], [-1, -1], 450.7537165315899
30, 50, 178.66690073972407, 41, 65, 9, 433, 0, 1675811574326, 1675811575436, [20, 4, 5], [1, -1], 390.1024033618429
40, 50, 176.9912890526189, 64, 117, 12, 466, 0, 1675811614156, 1675811615287, [30, 4, 5], [1, -1], 237.2537386764328
50, 50, 190.47636324386687, 28, 61, 8, 144, 0, 1675811653753, 1675811654803, [40, 5, 5], [1, 0], 550.5097203579967
50, 50, 191.20476366743898, 18, 32, 8, 53, 0, 1675811678189, 1675811679697, [50, 5, 5], [0, 0], 919.2536714780721
40, 50, 189.57771787960468, 27, 46, 8, 231, 0, 1675811718140, 1675811719277, [50, 4, 5], [-1, -1], 615.5120710376774
40, 60, 175.9182034411392, 84, 159, 11, 673, 0, 1675811757883, 1675811759741, [40, 4, 5], [0, 1], 177.69515499104972
50, 60, 189.75400391750202, 30, 52, 11, 141, 0, 1675811798164, 1675811800041, [40, 5, 5], [1, 0], 551.6104765043664
40, 60, 186.13344789476054, 52, 92, 11, 214, 0, 1675811838582, 1675811839659, [50, 5, 5], [-1, 0], 310.2224131579342
40, 70, 188.00247371675943, 33, 56, 11, 91, 0, 1675811878104, 1675811879372, [40, 5, 6], [0, 1], 500.0065790339346
30, 80, 182.26768544098493, 46, 79, 10, 238, 0, 1675811917976, 1675811919253, [40, 5, 6], [-1, 1], 346.51651224521845
40, 70, 139.32483196083655, 180, 325, 10, 786, 0, 1675811959495, 1675811960789, [30, 5, 6], [1, -1], 66.66259902432371
50, 70, 164.14422060121103, 129, 252, 11, 683, 0, 1675811999553, 1675812000832, [40, 6, 6], [1, 0], 106.86472695391342
40, 80, 190.84038969316214, 13, 21, 7, 65, 0, 1675812039207, 1675812040247, [50, 7, 6], [-1, 1], 1307.1259568024802
40, 70, 191.84656691258607, 12, 20, 7, 32, 0, 1675812078697, 1675812079740, [40, 5, 6], [0, -1], 1410.636521416074
50, 70, 191.29607435937316, 13, 23, 7, 39, 0, 1675812118164, 1675812119628, [40, 4, 6], [1, 0], 1275.3071623958213
50, 60, 176.0683337153051, 57, 93, 11, 252, 0, 1675812158228, 1675812159402, [50, 4, 6], [0, -1], 274.2497409895718
60, 70, 155.57309479961413, 93, 161, 12, 619, 0, 1675812198408, 1675812199985, [50, 5, 6], [1, 1], 145.94098949307138
60, 70, 140.50312012480498, 155, 272, 12, 1125, 0, 1675812224337, 1675812226225, [60, 5, 6], [0, 0], 78.75735433004763
60, 80, 133.06428416548295, 132, 238, 12, 680, 0, 1675812265752, 1675812267284, [60, 7, 6], [0, 1], 86.85658235344839
70, 90, 173.5014947878567, 51, 83, 10, 308, 0, 1675812306141, 1675812307402, [60, 6, 6], [1, 1], 302.2674125223984
80, 80, 162.70178835078661, 81, 149, 13, 666, 0, 1675812346792, 1675812347888, [70, 5, 6], [1, -1], 171.98920544480615
90, 90, 192.2153255006281, 13, 24, 7, 45, 0, 1675812386438, 1675812387479, [80, 5, 6], [1, 1], 1264.5745098725533
80, 90, 191.20616173738034, 14, 23, 7, 54, 0, 1675812426256, 1675812427301, [90, 5, 6], [-1, 0], 1210.1655806163312
80, 80, 191.29817447930486, 19, 35, 7, 146, 0, 1675812466113, 1675812467153, [80, 4, 6], [0, -1], 861.7034886455173
90, 90, 189.84684306414786, 16, 30, 8, 49, 0, 1675812506019, 1675812507069, [80, 4, 6], [1, 1], 1009.8236333199354
90, 100, 190.3866089616726, 12, 21, 7, 130, 0, 1675812545616, 1675812546660, [90, 4, 6], [0, 1], 1379.6131084179174
80, 100, 191.48027359038804, 13, 21, 7, 37, 0, 1675812585090, 1675812586132, [90, 4, 5], [-1, 1], 1311.5087232218357
90, 90, 192.2163907654849, 13, 23, 7, 43, 0, 1675812624554, 1675812625602, [80, 4, 5], [1, -1], 1281.4426051032326
80, 80, 181.29352190916654, 33, 55, 8, 154, 0, 1675812664401, 1675812665574, [90, 4, 5], [-1, -1], 484.74203719028475
80, 90, 120.15637576175692, 149, 233, 22, 1069, 0, 1675812705460, 1675812707258, [80, 4, 5], [0, 1], 72.47067295642758
