140, 80, 27.952353577684995, 876, 1539, 15, 2679, 0, 1670313782397, 1670313803325, [130, 10, 23], [1, -1], 2.7714013065323213
150, 90, 27.803803752541103, 729, 1449, 52, 2806, 0, 1670313871208, 1670313873615, [140, 11, 23], [1, 1], 3.184857245422807
140, 90, 33.626126350346055, 710, 1291, 34, 1853, 0, 1670313931391, 1670313934929, [150, 10, 23], [-1, 0], 4.0699741406857965
150, 90, 55.59811223963889, 335, 603, 25, 1126, 0, 1670313985718, 1670313987512, [140, 10, 23], [1, 0], 14.307285702428945
140, 80, 14.049371307679355, 1023, 1525, 44, 6299, 6, 1670314064105, 1670314085727, [150, 10, 23], [-1, -1], 1.2506116528110516
150, 70, 35.52498490945218, 669, 1260, 45, 1852, 0, 1670314139640, 1670314143465, [140, 11, 22], [1, -1], 4.5128283675625225
150, 70, 29.61864782666037, 670, 1104, 42, 2828, 4, 1670314198421, 1670314207337, [150, 12, 23], [0, 0], 3.9136691102881045
160, 60, 59.342743625979736, 407, 723, 15, 1202, 0, 1670314256153, 1670314258895, [150, 9, 23], [1, -1], 12.62074513525728
160, 70, 56.40101438836045, 293, 601, 22, 1079, 0, 1670314308947, 1670314311299, [160, 9, 23], [0, 1], 15.905531412397195
170, 80, 17.053851255194083, 854, 1528, 44, 3769, 0, 1670314374356, 1670314396209, [160, 10, 23], [1, 1], 1.7247017855172009
180, 80, 46.25481073853411, 387, 861, 20, 1466, 0, 1670314449176, 1670314452836, [170, 10, 23], [1, 0], 9.60041733884062
170, 90, 24.68008318510558, 760, 1386, 35, 2907, 0, 1670314511160, 1670314520161, [180, 10, 23], [-1, 1], 2.788079889867327
170, 90, 50.378252557671864, 301, 581, 5, 1292, 0, 1670314557354, 1670314559129, [170, 10, 23], [0, 0], 14.111555338283436
160, 80, 49.86021358549608, 334, 664, 14, 1131, 0, 1670314609169, 1670314610216, [170, 9, 23], [-1, -1], 12.46505339637402
160, 70, 22.432374107653022, 1201, 1883, 43, 2718, 0, 1670314670573, 1670314676041, [160, 11, 23], [0, -1], 1.6773122556941096
150, 70, 22.173206872942135, 827, 2129, 35, 2680, 0, 1670314737322, 1670314741556, [160, 12, 23], [-1, 0], 2.0391030782547483
160, 70, 16.683517687064853, 1523, 2945, 24, 4147, 0, 1670314813739, 1670314821870, [150, 12, 23], [1, 0], 0.9230672616501522
160, 70, 29.438445875182357, 528, 1014, 26, 2155, 0, 1670314862923, 1670314865323, [160, 11, 23], [0, 0], 4.7086445737655716
160, 60, 67.16289182715845, 232, 475, 11, 910, 0, 1670314913437, 1670314915111, [160, 11, 23], [0, -1], 23.93545681652118
150, 70, 30.026487353193083, 647, 1148, 25, 2229, 0, 1670314972764, 1670314977282, [160, 10, 23], [-1, 1], 4.018534174677875
160, 70, 28.824513697635485, 672, 1339, 48, 2165, 0, 1670315034515, 1670315037815, [150, 11, 23], [1, 0], 3.578906592703685
160, 70, 36.96698490686124, 459, 982, 17, 1907, 0, 1670315082998, 1670315084831, [160, 10, 23], [0, 0], 6.559081779074032
150, 80, 40.40460785047368, 617, 1093, 45, 2036, 0, 1670315148119, 1670315150309, [160, 11, 23], [-1, 1], 5.673210874820792
140, 90, 26.954953211750798, 851, 1678, 45, 2365, 0, 1670315208723, 1670315212970, [150, 12, 23], [-1, 1], 2.652002480494962
150, 80, 26.977237269178367, 932, 1706, 79, 2328, 0, 1670315273839, 1670315278510, [140, 12, 23], [1, -1], 2.4822632746759625
140, 70, 33.29871953706936, 524, 981, 26, 2400, 0, 1670315352065, 1670315355421, [150, 11, 23], [-1, -1], 5.410906652107467
140, 60, 35.2808860448378, 662, 1337, 45, 1792, 0, 1670315407799, 1670315449165, [140, 10, 23], [0, -1], 4.426710921560577
140, 70, 28.160969219893236, 751, 1507, 39, 2274, 0, 1670315506833, 1670315510296, [140, 9, 23], [0, 1], 3.1213665728101567
130, 70, 31.027889878456996, 657, 1305, 24, 2038, 0, 1670315568930, 1670315572994, [140, 11, 23], [-1, 0], 3.944557574174548
130, 70, 44.61279930412481, 398, 848, 19, 1412, 1, 1670315627900, 1670315629745, [130, 11, 23], [0, 0], 9.14196707051738
140, 60, 29.26910596503858, 600, 1125, 17, 2239, 0, 1670315697880, 1670315702151, [130, 10, 23], [1, -1], 4.151646236175685
140, 70, 50.104198452051875, 485, 912, 22, 1384, 0, 1670315754455, 1670315755714, [140, 10, 23], [0, 1], 8.784046011930553
130, 60, 35.93862455479727, 483, 935, 31, 1712, 0, 1670315808327, 1670315812367, [140, 10, 23], [-1, -1], 6.267635953051494
140, 70, 25.826323190184105, 603, 1164, 47, 2518, 0, 1670315870283, 1670315874654, [130, 10, 24], [1, 1], 3.6110630858758532
130, 60, 28.241141668350032, 746, 1132, 22, 2924, 0, 1670315932910, 1670315954211, [140, 11, 23], [-1, -1], 3.4306537497995664
130, 50, 26.88664928232644, 996, 1684, 46, 2272, 0, 1670316033748, 1670316037969, [130, 10, 23], [0, -1], 2.371793338243334
140, 50, 22.41373824303549, 900, 1775, 22, 2996, 0, 1670316108843, 1670316113368, [130, 11, 23], [1, 0], 2.0849989063288827
150, 50, 17.24726714813965, 1706, 3960, 44, 15603, 2, 1670316294721, 1670316296065, [140, 12, 23], [1, -1], 0.7996692854293235
140, 50, 18.237387009776374, 1285, 2868, 53, 3655, 0, 1670316358456, 1670316373470, [150, 10, 23], [-1, -1], 1.1386979901209024
150, 50, 22.94968171959807, 843, 1556, 24, 2895, 0, 1670316430944, 1670316438675, [140, 12, 23], [1, -1], 2.3284985510955827
140, 50, 23.11430890716853, 851, 1446, 36, 2824, 0, 1670316497269, 1670316519125, [150, 11, 23], [-1, -1], 2.382918444037993
150, 60, 21.883846982733708, 903, 1359, 54, 2971, 0, 1670316579480, 1670316600965, [140, 13, 24], [1, 1], 2.2011513762556536
160, 70, 17.060796737898812, 873, 1831, 24, 3757, 0, 1670316668332, 1670316676377, [150, 10, 24], [1, 1], 1.6025546438003766
160, 80, 16.0065635204339, 957, 1904, 31, 3900, 0, 1670316759709, 1670316767520, [160, 11, 23], [0, 1], 1.3962459456065857
160, 80, 32.30164181195565, 738, 1408, 23, 1978, 0, 1670316807228, 1670316810975, [160, 10, 23], [0, 0], 3.7043167215545467
160, 70, 27.492926959592133, 665, 1309, 31, 2211, 0, 1670316866348, 1670316870227, [160, 11, 22], [0, -1], 3.4634576668672383
170, 80, 26.645569799745324, 643, 1106, 44, 2398, 0, 1670316949245, 1670316954276, [160, 12, 23], [1, 1], 3.622290619867499
160, 90, 35.81584944283965, 709, 1234, 32, 1797, 0, 1670317009279, 1670317012022, [170, 10, 23], [-1, 1], 4.399981504034355
170, 90, 25.636515818298978, 543, 1495, 26, 2484, 0, 1670317071451, 1670317075153, [160, 11, 23], [1, 0], 3.495570741518813
160, 100, 30.780866603565144, 553, 1094, 16, 1953, 0, 1670317129966, 1670317133635, [170, 11, 23], [-1, 1], 4.655303479063089
160, 100, 30.40579511116566, 616, 1313, 9, 2148, 0, 1670317171894, 1670317185226, [160, 10, 23], [0, 0], 4.025125114001278
170, 100, 22.32616354283105, 669, 1168, 55, 5567, 0, 1670317279940, 1670317283236, [160, 10, 23], [1, 1], 2.9040275159769835
160, 100, 43.82579478144889, 616, 1119, 23, 1521, 0, 1670317354344, 1670317356048, [170, 9, 24], [-1, 1], 6.115796090071014
150, 100, 30.223523047584948, 701, 1187, 22, 1979, 4, 1670317427623, 1670317430579, [160, 10, 24], [-1, 0], 3.786459915758575
160, 90, 45.78449857279112, 426, 945, 14, 1352, 0, 1670317481910, 1670317483465, [150, 11, 23], [1, -1], 8.6418457102286
150, 80, 40.6676653904007, 360, 925, 10, 1585, 0, 1670317536034, 1670317538519, [160, 11, 23], [-1, -1], 8.59781509310797
150, 80, 25.68442434635216, 658, 1282, 33, 2592, 0, 1670317586307, 1670317590893, [150, 11, 22], [0, 0], 3.2810966206377317
140, 80, 31.63884377828093, 521, 1151, 21, 2075, 0, 1670317648510, 1670317651845, [150, 11, 23], [-1, 0], 4.890084046102153
140, 70, 34.87137375150781, 635, 1079, 52, 1727, 0, 1670317723265, 1670317726492, [140, 11, 23], [0, -1], 4.8178189764448485
130, 80, 51.563604784822545, 490, 815, 28, 1179, 0, 1670317781361, 1670317783108, [140, 10, 23], [-1, 1], 9.290739600868928
120, 90, 40.25946843551041, 641, 921, 65, 1664, 5, 1670317853970, 1670317856556, [130, 11, 23], [-1, 1], 5.77610737955673
120, 80, 47.644199167732175, 382, 829, 29, 1276, 0, 1670317907928, 1670317909556, [120, 10, 23], [0, -1], 10.10695782090203
110, 70, 47.556100517637184, 543, 1036, 23, 1436, 0, 1670317961944, 1670317963485, [120, 11, 23], [-1, -1], 7.412110429806294
100, 60, 39.435594994701646, 466, 847, 46, 1634, 0, 1670318042379, 1670318045927, [110, 9, 23], [-1, -1], 7.273256177554711
110, 70, 33.7245556498131, 610, 1302, 19, 1953, 0, 1670318101606, 1670318104132, [100, 10, 23], [1, 1], 4.506220690782081
110, 80, 32.14245991071015, 667, 1161, 31, 2040, 0, 1670318161934, 1670318163147, [110, 11, 23], [0, 1], 4.1972394764573195
110, 70, 28.28503377548202, 979, 1593, 56, 2231, 0, 1670318219277, 1670318223007, [110, 12, 23], [0, -1], 2.567165889951172
100, 60, 34.10549828562697, 597, 1158, 30, 1926, 0, 1670318275745, 1670318280765, [110, 12, 23], [-1, -1], 4.809009910550898
90, 70, 43.60614646751531, 636, 1120, 45, 1616, 0, 1670318337910, 1670318339315, [100, 11, 23], [-1, 1], 5.950620424060495
90, 60, 18.262253841069718, 852, 1252, 107, 5834, 0, 1670318414255, 1670318436007, [90, 11, 23], [0, -1], 1.9594692962521156
80, 70, 22.965086190987982, 658, 1305, 28, 3036, 0, 1670318512854, 1670318517054, [90, 9, 24], [-1, 1], 2.9165717793990327
80, 60, 54.32246193572307, 209, 486, 8, 941, 0, 1670318568403, 1670318570565, [80, 11, 23], [0, -1], 20.545560490061675
90, 60, 31.42142116408688, 519, 1009, 23, 1909, 0, 1670318643407, 1670318645945, [80, 11, 23], [1, 0], 5.092612830484097
80, 70, 40.7952581091986, 549, 1162, 32, 1809, 0, 1670318697899, 1670318702823, [90, 12, 23], [-1, 1], 6.074338610660899
90, 80, 49.8104176634042, 332, 780, 6, 1232, 0, 1670318754873, 1670318756532, [80, 11, 23], [1, 1], 11.8146151953046
100, 90, 39.38292816540295, 473, 840, 33, 1564, 0, 1670318808894, 1670318811537, [90, 12, 23], [1, 1], 7.207710132760421
100, 80, 59.153191279185975, 299, 589, 17, 1073, 0, 1670318861433, 1670318862484, [100, 10, 23], [0, -1], 16.56952136671876
100, 70, 27.30374533940999, 695, 1017, 67, 5346, 0, 1670318951500, 1670318953698, [100, 9, 23], [0, -1], 3.5954365735330516
100, 80, 32.66393933444806, 775, 1421, 46, 2332, 0, 1670319008646, 1670319018187, [100, 10, 24], [0, 1], 3.6124684068179667
90, 90, 31.507342835682515, 675, 1352, 18, 1994, 0, 1670319077127, 1670319081071, [100, 12, 24], [-1, 1], 3.887875473307319
90, 80, 32.072371255925034, 615, 1156, 39, 1993, 0, 1670319138434, 1670319142087, [90, 11, 24], [0, -1], 4.434785848440962
100, 90, 31.144312691281378, 785, 1317, 40, 2025, 0, 1670319200219, 1670319202973, [90, 13, 23], [1, 1], 3.493865009118395
100, 80, 41.450070683633896, 484, 971, 23, 1641, 0, 1670319255025, 1670319258376, [100, 12, 23], [0, -1], 7.129355122744046
110, 90, 34.09463376958409, 555, 1086, 26, 1961, 0, 1670319331528, 1670319333327, [100, 10, 23], [1, 1], 5.156478186567467
110, 90, 60.89630662689551, 329, 616, 23, 1091, 0, 1670319367913, 1670319370003, [110, 10, 24], [0, 0], 15.759913723316643
110, 80, 24.17963252915415, 847, 1654, 33, 2844, 0, 1670319436037, 1670319440579, [110, 10, 24], [0, -1], 2.397821551879626
110, 70, 39.147262806357425, 550, 1004, 31, 1716, 0, 1670319493041, 1670319501775, [110, 10, 23], [0, -1], 6.109123409231809
100, 70, 17.129833162398718, 1310, 2843, 44, 8146, 0, 1670319616641, 1670319621017, [110, 10, 23], [-1, 0], 1.0596210047258887
90, 70, 32.30017211505181, 540, 1324, 22, 1874, 0, 1670319694700, 1670319696360, [100, 11, 24], [-1, 0], 4.63550116461708
90, 60, 28.37406350772148, 669, 1293, 18, 2248, 0, 1670319753027, 1670319756402, [90, 10, 24], [0, -1], 3.57446000349225
100, 70, 47.06477694972922, 507, 854, 33, 1590, 0, 1670319811893, 1670319813431, [90, 11, 23], [1, 1], 8.165297874692785
90, 70, 29.48122284663222, 656, 1162, 72, 2186, 0, 1670319877718, 1670319881547, [100, 11, 23], [-1, 0], 3.893452568229295
90, 70, 24.546260600965887, 688, 1161, 36, 2810, 7, 1670319941193, 1670319944770, [90, 12, 23], [0, 0], 3.136501482362112
80, 80, 41.03739540873239, 561, 1035, 33, 1625, 0, 1670319998376, 1670320003002, [90, 11, 23], [-1, 1], 6.25760832704062
90, 80, 22.86958651411343, 956, 1422, 48, 3812, 0, 1670320078972, 1670320087824, [80, 12, 23], [1, 0], 2.179716594940281
100, 70, 23.79108256358096, 876, 2260, 45, 3628, 0, 1670320149659, 1670320162604, [90, 10, 23], [1, -1], 2.063764969082318
110, 60, 16.799897512976987, 1105, 2254, 39, 4046, 0, 1670320239592, 1670320244162, [100, 10, 23], [1, -1], 1.2586078448439457
110, 70, 31.969705840377912, 677, 1312, 15, 1946, 0, 1670320301937, 1670320303929, [110, 11, 24], [0, 1], 3.9763315721863077
120, 80, 39.91960141548518, 559, 1124, 13, 1818, 0, 1670320355755, 1670320365391, [110, 10, 24], [1, 1], 5.940416877304343
130, 90, 32.469467501044974, 701, 1351, 57, 1981, 0, 1670320419050, 1670320426339, [120, 10, 24], [1, 1], 3.907276474253306
130, 80, 29.788924159787758, 801, 1134, 36, 2160, 0, 1670320499006, 1670320502709, [130, 12, 24], [0, -1], 3.433485956637593
120, 80, 21.37900691457425, 668, 1658, 64, 3359, 0, 1670320578900, 1670320584827, [130, 10, 24], [-1, 0], 2.4687074959092667
130, 90, 36.20968175388677, 590, 1216, 12, 1634, 0, 1670320638231, 1670320641308, [120, 11, 23], [1, 1], 5.062874965588195
140, 90, 42.471961337943156, 427, 843, 11, 1620, 0, 1670320696520, 1670320700899, [130, 10, 23], [1, 0], 8.32457101880501
150, 100, 39.33723442345673, 379, 816, 17, 1768, 0, 1670320755156, 1670320757196, [140, 10, 23], [1, 1], 8.434226934703414
160, 100, 33.49236285055956, 625, 1147, 41, 1866, 0, 1670320810653, 1670320814795, [150, 10, 23], [1, 0], 4.591768967721355
160, 90, 50.63238124520967, 403, 668, 11, 1343, 0, 1670320866052, 1670320867720, [160, 10, 23], [0, -1], 11.103592378335454
160, 80, 33.751899794367525, 551, 1039, 29, 1933, 0, 1670320924987, 1670320928252, [160, 12, 23], [0, -1], 5.203808170577787
170, 90, 27.20434723731096, 813, 1354, 44, 2656, 0, 1670321004006, 1670321006911, [160, 11, 23], [1, 1], 2.9531423401336254
180, 80, 36.11143002669344, 956, 2463, 36, 9398, 0, 1670321097334, 1670321161261, [170, 10, 23], [1, -1], 2.8719126790753493
180, 70, 34.74340119644238, 492, 1121, 12, 1738, 0, 1670321218076, 1670321220642, [180, 8, 24], [0, -1], 5.62372955591492
180, 80, 33.3847132957108, 684, 1494, 10, 2693, 0, 1670321284549, 1670321286003, [180, 10, 23], [0, 1], 3.946183604693948
170, 70, 20.96482815028302, 749, 1297, 16, 3342, 0, 1670321356275, 1670321359912, [180, 10, 23], [-1, -1], 2.4417456499281407
160, 60, 34.366592189285015, 673, 1281, 38, 2476, 0, 1670321435879, 1670321437762, [170, 10, 23], [-1, -1], 4.325017894448152
160, 60, 26.12821878789481, 715, 1364, 56, 2456, 1, 1670321497147, 1670321501467, [160, 10, 23], [0, 0], 3.0928289284913366
150, 50, 2.847198556977675, 1781, 3997, 49, 15190, 0, 1670321655396, 1670321677242, [160, 9, 23], [-1, -1], 0.1280100061585143
160, 50, 56.65085453845158, 484, 850, 35, 1101, 0, 1670321726416, 1670321729086, [150, 9, 23], [1, 0], 10.167059321330147
170, 60, 27.24947290381303, 973, 1684, 25, 2383, 0, 1670321785601, 1670321790724, [160, 11, 23], [1, 1], 2.4434606262386147
160, 60, 22.326630274673683, 903, 1800, 33, 4458, 0, 1670321874007, 1670321877592, [170, 11, 23], [-1, 0], 2.062696810298751
170, 70, 48.22886808312094, 304, 645, 10, 1320, 0, 1670321928118, 1670321930292, [160, 9, 23], [1, 1], 12.957782934745014
170, 70, 30.271721130351423, 499, 1117, 20, 2125, 0, 1670321971796, 1670321976683, [170, 10, 24], [0, 0], 4.8621460215790915
180, 70, 27.738155153135438, 760, 1209, 43, 4207, 3, 1670322057515, 1670322062863, [170, 10, 24], [1, 0], 3.2640803898723743
170, 70, 26.537308882551695, 797, 1317, 54, 2390, 0, 1670322121878, 1670322126419, [180, 9, 23], [-1, 0], 2.945317301060122
170, 60, 33.33501362547791, 688, 1197, 55, 1849, 0, 1670322181064, 1670322184125, [170, 10, 23], [0, -1], 4.2206905071509135
