10, 60, 192.30769230769232, 10, 14, 7, 27, 0, 1675777276004, 1675777277274, [10, 3, 5], [-1, 1], 1780.6267806267804
10, 60, 191.30132474566346, 12, 27, 7, 43, 0, 1675777315690, 1675777316918, [10, 4, 5], [-1, 0], 1275.3421649710897
20, 70, 189.75946996975372, 19, 36, 7, 134, 0, 1675777355372, 1675777356541, [10, 4, 5], [1, 1], 847.1404909364004
20, 80, 190.39074960127593, 10, 16, 7, 26, 0, 1675777395004, 1675777396044, [20, 3, 5], [0, 1], 1699.9174071542495
20, 80, 191.38755980861245, 10, 16, 7, 31, 0, 1675777419438, 1675777420486, [20, 3, 5], [0, 0], 1708.8174982911828
30, 70, 190.95380285181986, 22, 37, 7, 157, 0, 1675777458954, 1675777459992, [20, 4, 5], [1, -1], 763.8152114072794
30, 60, 182.9984637166009, 15, 25, 8, 50, 0, 1675777498634, 1675777499760, [30, 4, 5], [0, -1], 1076.461551274123
40, 70, 185.44374099432923, 14, 25, 7, 49, 0, 1675777538290, 1675777539374, [30, 4, 5], [1, 1], 1144.714450582279
30, 60, 188.46384654444478, 12, 19, 7, 35, 0, 1675777578041, 1675777579082, [40, 4, 5], [-1, -1], 1406.446616003319
30, 60, 191.1132782181997, 25, 43, 8, 149, 0, 1675777602944, 1675777603983, [30, 3, 5], [0, 0], 668.2282455181808
30, 50, 187.88665025195695, 59, 116, 10, 448, 0, 1675777643365, 1675777644411, [30, 4, 5], [0, -1], 266.88444638062066
30, 50, 191.29642437615956, 13, 22, 8, 36, 0, 1675777682866, 1675777683912, [30, 5, 5], [0, -1], 1292.543407947024
30, 60, 191.75473044028212, 11, 17, 7, 27, 0, 1675777722436, 1675777723479, [30, 4, 5], [0, 1], 1571.760085576083
40, 70, 191.93928676687298, 11, 17, 8, 34, 0, 1675777762127, 1675777763166, [30, 4, 5], [1, 1], 1573.272842351418
30, 60, 180.4198596572104, 23, 61, 7, 147, 0, 1675777801907, 1675777802960, [40, 4, 5], [-1, -1], 589.6073845006875
40, 70, 190.48465646092205, 11, 16, 7, 35, 0, 1675777841607, 1675777842651, [30, 4, 5], [1, 1], 1587.3721371743504
40, 80, 192.30769230769232, 13, 22, 7, 40, 0, 1675777881020, 1675777882061, [40, 3, 5], [0, 1], 1299.3762993762994
30, 70, 190.2045128123496, 11, 18, 7, 33, 0, 1675777920502, 1675777921554, [40, 4, 5], [-1, -1], 1533.907361389916
40, 80, 192.12313598110143, 11, 18, 7, 36, 0, 1675777959979, 1675777961019, [30, 4, 5], [1, 1], 1549.3801288798502
40, 80, 192.03289358446037, 34, 70, 9, 265, 0, 1675777984853, 1675777985899, [40, 3, 5], [0, 0], 466.09925627296207
40, 90, 181.66329429288902, 66, 114, 7, 487, 0, 1675778024694, 1675778025731, [40, 5, 5], [0, 1], 240.29536282128174
50, 100, 190.93291920484413, 12, 25, 7, 47, 0, 1675778064341, 1675778065394, [40, 5, 5], [1, 1], 1307.7597205811242
50, 100, 190.11561450986946, 17, 31, 7, 67, 0, 1675778088816, 1675778089860, [50, 4, 5], [0, 0], 960.1798712619668
50, 100, 192.40130525637775, 23, 34, 7, 138, 0, 1675778113229, 1675778114272, [50, 4, 5], [0, 0], 763.497243080864
50, 100, 192.2163907654849, 13, 22, 7, 42, 0, 1675778138046, 1675778139086, [50, 4, 5], [0, 0], 1298.7593970640871
50, 100, 191.93857965451056, 15, 29, 8, 51, 0, 1675778162536, 1675778163580, [50, 4, 5], [0, 0], 1078.3066272725312
50, 100, 192.40130525637775, 19, 45, 7, 153, 0, 1675778186934, 1675778187984, [50, 4, 5], [0, 0], 795.0467159354451
50, 90, 173.43910422746583, 77, 138, 10, 477, 0, 1675778226765, 1675778228002, [50, 4, 5], [0, -1], 194.43845765410967
40, 90, 189.0528061297424, 23, 49, 7, 132, 0, 1675778266384, 1675778268200, [50, 5, 5], [-1, 0], 670.4000217366751
